product_id,product_name,supplier_id,category_id,quantity_per_unit,unit_price,units_in_stock,units_on_order,reorder_level,discontinued
38,Tablet 8007,190,3,500 ml,24.29,38,88,29,1
39,Mouse 8041,95,1,6 pack,88.45,186,5,55,0
40,Keyboard 6794,171,4,500 ml,1768.85,208,79,29,0
41,Printer 1406,46,3,6 pack,1474.45,170,100,62,0
42,Keyboard 7267,41,5,1 piece,1717.89,113,25,68,0
43,Monitor 1387,59,5,12 pack,799.94,142,8,45,0
44,Camera 1452,174,7,2 pieces,1754.69,133,22,84,0
45,Printer 6663,28,1,500 g,875.61,261,14,59,1
46,Laptop 8144,66,4,1 piece,1042.24,412,68,97,0
47,Keyboard 6409,111,6,1 L,631.26,434,15,48,1
48,Printer 6344,171,5,1 kg,1395.93,283,16,34,0
49,Mouse 5930,174,7,1 kg,1098.13,0,38,46,0
50,Camera 8618,149,7,250 ml,887.11,109,65,70,0
51,Camera 2530,73,2,12 pack,1347.23,115,25,28,0
52,Tablet 2193,63,1,250 ml,831.81,322,73,34,0
53,Monitor 3417,103,8,1 piece,1785.86,440,98,23,0
54,Tablet 1822,46,4,500 ml,502.15,434,15,68,0
55,Camera 8251,171,8,1 L,1630.94,456,64,64,1
56,Tablet 8373,41,8,24 pack,1504.79,430,81,45,1
57,Monitor 5499,161,8,250 ml,159.58,146,30,44,0
58,Keyboard 3267,139,6,6 pack,466.37,355,19,100,0
59,Printer 6421,107,2,500 ml,934.52,31,26,63,0
60,Printer 8814,196,1,1 piece,1885.77,152,96,59,0
61,Monitor 5471,125,4,1 kg,973.86,199,43,95,0
62,Mouse 9751,120,3,1 piece,1814.32,303,72,94,0
63,Printer 3223,165,2,250 ml,367.55,133,48,51,0
64,Camera 7211,84,8,24 pack,1505.26,425,53,42,0
65,Laptop 6733,5,8,12 pack,1302.04,399,83,15,0
66,Laptop 3496,52,4,12 pack,256.81,342,14,82,0
67,Headphones 7043,180,8,6 pack,1213.76,493,95,24,0
68,Laptop 6111,28,5,1 L,1356.31,490,48,60,0
69,Monitor 2669,152,2,24 pack,1701.34,307,15,82,0
70,Printer 7071,137,6,2 pieces,1014.39,174,1,63,0
71,Camera 8532,111,2,6 pack,873.8,375,66,93,0
72,Printer 5397,120,8,500 g,1704.17,425,11,45,0
73,Tablet 7209,193,4,500 g,62.26,435,41,33,0
74,Headphones 6576,91,4,24 pack,1761.24,359,35,81,0
75,Monitor 7658,22,4,250 ml,1112.58,123,88,70,0
76,Keyboard 5820,5,8,12 pack,811.78,124,39,94,1
77,Camera 7971,122,6,500 ml,664.93,359,58,44,0
78,Keyboard 4155,60,5,500 g,243.51,274,97,98,0
79,Tablet 5530,56,4,1 L,1953.33,268,76,46,0
80,Monitor 6912,76,4,6 pack,608.02,362,68,26,0
81,Headphones 3068,14,1,250 ml,209.66,6,73,46,0
82,Camera 4020,113,8,1 piece,508.69,441,61,24,0
83,Keyboard 1878,126,7,6 pack,302.65,288,38,20,0
84,Printer 4697,143,2,500 ml,763.85,465,56,48,1
85,Laptop 2625,79,7,12 pack,1252.9,135,84,20,0
86,Keyboard 3564,45,4,1 piece,819.99,352,76,70,0
87,Headphones 5632,60,1,250 ml,147.0,119,33,90,1
88,Keyboard 9922,109,4,12 pack,1297.03,465,34,28,0
89,Headphones 5728,43,1,250 ml,253.09,352,38,99,0
90,Tablet 8172,129,5,2 pieces,1198.08,455,55,51,1
91,Keyboard 4750,7,5,1 L,1176.31,10,97,96,0
92,Mouse 8708,196,1,500 ml,1304.76,469,35,33,1
93,Tablet 2494,163,7,250 ml,699.18,170,41,95,0
94,Printer 9117,85,3,24 pack,1326.85,205,97,80,0
95,Camera 5135,23,8,500 g,236.26,395,51,75,0
96,Laptop 4073,106,8,500 ml,726.75,387,63,90,0
97,Headphones 9998,53,1,6 pack,1855.71,224,89,72,0
98,Monitor 3594,162,1,24 pack,1103.92,282,52,21,0
99,Keyboard 3522,119,2,250 ml,1865.64,149,65,100,0
100,Tablet 4993,124,7,250 ml,1104.77,196,24,86,1
101,Headphones 7798,18,3,500 g,1868.83,259,34,10,0
102,Tablet 3434,151,5,250 ml,1079.47,176,42,80,1
103,Camera 4090,117,7,12 pack,1145.74,119,99,62,0
104,Tablet 7246,191,6,1 kg,1976.89,405,83,29,0
105,Camera 2644,33,1,250 ml,203.92,466,58,11,0
106,Mouse 2225,168,7,250 ml,1564.14,135,43,89,0
107,Printer 6188,85,2,250 ml,1745.4,18,79,18,0
108,Keyboard 8110,59,5,2 pieces,1521.94,360,12,66,0
109,Laptop 6314,8,5,1 piece,590.27,191,55,28,0
110,Mouse 3785,145,7,6 pack,162.54,445,48,89,0
111,Mouse 4804,150,8,250 ml,1277.62,235,32,95,0
112,Mouse 2210,74,8,250 ml,1890.75,300,38,91,0
113,Headphones 4263,117,5,1 kg,1707.4,54,30,58,1
114,Headphones 5837,148,6,1 piece,1956.0,337,50,45,0
115,Tablet 5689,156,1,12 pack,1216.09,180,28,91,0
116,Mouse 2591,174,5,1 piece,621.32,225,4,84,0
117,Headphones 6352,24,3,1 kg,355.4,67,100,79,0
118,Headphones 8894,43,5,24 pack,1494.39,173,14,69,0
119,Monitor 7511,194,3,500 ml,734.72,404,50,11,0
120,Camera 5295,117,2,1 L,765.15,326,47,23,0
121,Camera 4626,7,8,2 pieces,1272.63,237,89,48,0
122,Laptop 1609,36,2,24 pack,1991.88,59,12,40,1
123,Tablet 7078,100,3,500 ml,841.16,380,93,29,0
124,Printer 5583,126,2,1 piece,1382.11,111,56,66,0
125,Camera 9920,26,6,500 g,125.8,141,24,25,0
126,Monitor 1349,170,2,1 piece,1574.66,124,16,82,0
127,Monitor 4538,196,2,12 pack,660.48,75,100,86,0
128,Mouse 9850,38,5,24 pack,1598.04,56,84,13,0
129,Monitor 6304,92,1,1 piece,352.62,26,16,63,1
130,Keyboard 8802,191,2,250 ml,1557.14,262,75,23,0
131,Laptop 9543,158,4,24 pack,918.79,493,3,17,0
132,Keyboard 9032,110,7,250 ml,151.61,41,41,87,0
133,Headphones 9984,33,2,500 g,764.9,305,67,47,0
134,Keyboard 4522,26,7,1 kg,905.85,116,52,53,0
135,Keyboard 6120,107,7,1 kg,628.48,130,47,29,0
136,Keyboard 2527,24,2,1 kg,197.65,378,47,26,1
137,Camera 3002,151,1,1 kg,710.43,340,96,64,0
138,Headphones 6761,154,5,2 pieces,1157.95,108,19,94,0
139,Camera 7022,28,4,2 pieces,1526.4,293,28,64,1
140,Headphones 1474,156,1,6 pack,550.17,390,39,53,0
141,Mouse 7566,47,1,2 pieces,288.04,324,3,21,1
142,Printer 8432,97,4,500 g,319.03,159,92,51,1
143,Mouse 3579,14,2,1 L,104.28,41,34,66,0
144,Tablet 7785,156,8,24 pack,435.06,262,14,54,0
145,Tablet 9633,73,2,24 pack,95.61,202,76,17,0
146,Monitor 3248,78,4,24 pack,582.45,61,0,73,0
147,Printer 9725,34,3,12 pack,1003.02,426,85,55,0
148,Laptop 8147,190,7,1 piece,922.21,39,40,83,0
149,Printer 5743,182,7,2 pieces,813.04,494,41,31,1
150,Camera 2443,177,8,1 kg,1689.75,124,55,85,0
151,Headphones 6562,102,2,12 pack,669.47,86,9,75,0
152,Camera 6752,199,4,6 pack,476.36,74,32,35,0
153,Keyboard 3902,195,3,250 ml,930.59,288,97,84,0
154,Camera 3473,161,6,250 ml,141.23,226,80,48,0
155,Keyboard 6085,91,1,250 ml,906.57,29,47,46,0
156,Printer 8581,158,2,1 L,1110.86,405,94,15,0
157,Tablet 9214,83,4,6 pack,1915.66,230,13,53,0
158,Monitor 8172,11,3,250 ml,1050.52,312,20,56,0
159,Printer 6543,100,5,1 L,109.47,323,82,52,0
160,Printer 5655,25,6,24 pack,1448.85,336,77,29,0
161,Mouse 6731,150,2,24 pack,1935.55,357,84,60,0
162,Printer 6381,80,2,6 pack,1341.88,424,94,97,1
163,Printer 9331,166,2,500 g,41.37,158,23,37,0
164,Monitor 3253,50,8,6 pack,158.94,432,100,22,1
165,Camera 3147,170,1,1 L,756.56,83,23,98,1
166,Tablet 1715,185,3,1 kg,731.78,368,30,66,1
167,Tablet 4833,193,5,500 ml,482.14,494,100,70,0
168,Tablet 8564,174,6,24 pack,1557.36,257,67,63,0
169,Mouse 5096,155,4,1 piece,1284.15,447,47,80,0
170,Keyboard 3626,73,2,24 pack,901.39,262,18,65,0
171,Camera 1436,116,4,1 kg,111.25,257,47,40,0
172,Monitor 1461,96,2,500 g,1862.0,429,91,93,0
173,Laptop 5700,36,3,250 ml,1393.66,71,97,100,0
174,Laptop 2298,158,8,1 piece,515.57,427,19,80,1
175,Headphones 4893,29,7,24 pack,248.09,122,53,91,1
176,Keyboard 9189,17,8,1 L,1074.43,323,65,83,0
177,Printer 1025,75,3,1 L,708.87,292,53,33,0
178,Laptop 7397,18,6,250 ml,91.85,198,47,42,0
179,Camera 4950,18,6,2 pieces,1544.15,376,96,52,0
180,Camera 3868,91,1,250 ml,1961.73,245,80,33,0
181,Tablet 1605,184,2,24 pack,407.17,405,25,15,0
182,Printer 9897,132,5,250 ml,510.36,385,82,34,0
183,Laptop 6438,200,6,24 pack,253.33,188,55,61,0
184,Mouse 9129,87,7,250 ml,737.86,408,66,44,0
185,Printer 3956,21,7,500 ml,591.06,52,10,51,0
186,Printer 3730,115,5,250 ml,706.34,21,93,55,1
187,Laptop 2229,71,7,1 kg,729.81,410,95,96,0
188,Tablet 1570,37,1,6 pack,139.13,398,82,56,0
189,Laptop 3513,146,7,250 ml,1897.9,190,56,19,1
190,Camera 7521,136,3,500 g,1300.87,127,14,13,0
191,Printer 2929,133,8,24 pack,1551.05,360,57,37,1
192,Tablet 4279,178,5,2 pieces,275.78,37,57,32,0
193,Camera 6692,175,2,2 pieces,1102.24,148,38,30,0
194,Monitor 2988,131,6,12 pack,1585.17,121,63,13,0
195,Mouse 2412,120,6,2 pieces,622.03,367,92,71,1
196,Printer 2208,197,7,6 pack,1944.9,328,9,67,0
197,Mouse 3114,33,6,1 kg,1008.21,444,7,25,1
198,Mouse 3653,78,3,500 g,1869.8,115,44,76,0
199,Monitor 5496,65,2,6 pack,1251.92,314,68,21,1
200,Mouse 3804,152,3,1 L,1442.66,309,43,82,0
201,Laptop 5336,21,1,12 pack,1535.08,213,79,91,0
202,Headphones 5949,161,8,250 ml,493.53,413,87,61,0
203,Laptop 3589,19,8,250 ml,834.17,237,26,53,1
204,Camera 6658,81,3,1 kg,265.88,189,65,81,0
205,Tablet 3007,62,6,24 pack,901.94,72,12,16,0
206,Printer 5067,158,7,6 pack,1627.89,478,73,50,0
207,Tablet 9171,128,3,24 pack,997.25,46,50,74,0
208,Camera 1797,56,4,1 piece,566.31,305,83,96,0
209,Laptop 2761,138,5,1 kg,272.2,135,93,56,0
210,Printer 1838,12,6,1 L,1125.82,185,70,46,0
211,Tablet 5582,130,7,1 L,1362.4,60,16,22,0
212,Camera 3363,87,6,12 pack,1206.91,205,64,15,0
213,Camera 8761,36,1,500 ml,916.69,310,65,27,0
214,Printer 5902,42,6,1 L,676.07,424,65,78,0
215,Laptop 7035,122,5,500 g,1349.24,213,74,49,0
216,Monitor 1841,68,8,1 L,963.5,268,80,89,0
217,Monitor 1517,175,3,1 L,1896.67,56,24,12,0
218,Mouse 7765,108,6,12 pack,823.7,396,78,70,0
219,Monitor 6325,133,3,250 ml,1053.33,160,22,68,1
220,Camera 5331,140,6,1 L,970.94,490,31,45,1
221,Headphones 5735,58,5,12 pack,1382.03,250,40,71,0
222,Keyboard 9899,74,5,1 kg,1792.04,202,44,28,0
223,Keyboard 6674,74,1,250 ml,1313.66,382,61,37,0
224,Headphones 3249,144,5,2 pieces,1233.28,300,30,41,0
225,Monitor 1860,164,4,2 pieces,829.54,367,60,22,0
226,Mouse 7666,141,1,250 ml,957.51,102,96,46,0
227,Laptop 2465,166,5,1 L,468.28,378,92,14,0
228,Laptop 7504,46,7,250 ml,376.69,383,37,14,0
229,Keyboard 6489,146,5,24 pack,911.43,328,69,77,0
230,Tablet 5470,130,3,12 pack,1618.58,169,20,68,0
231,Camera 5833,4,3,1 L,1350.43,98,22,88,0
232,Camera 2421,132,7,1 kg,1340.17,94,17,71,0
233,Headphones 7284,2,4,12 pack,896.24,136,42,48,1
234,Camera 4871,67,1,1 piece,1337.23,238,39,30,0
235,Keyboard 5833,177,5,500 g,1231.18,112,17,71,0
236,Camera 7813,192,8,500 ml,1826.03,387,68,95,0
237,Keyboard 9609,175,4,250 ml,1058.71,185,9,82,0
238,Monitor 9792,141,1,6 pack,333.25,437,66,66,0
239,Tablet 2489,184,4,500 ml,893.74,28,58,26,1
240,Laptop 8575,117,7,24 pack,1447.94,202,32,10,0
241,Printer 6644,12,2,2 pieces,1084.62,30,8,70,0
242,Mouse 3218,105,5,1 kg,752.05,456,48,67,0
243,Mouse 6697,21,7,2 pieces,361.05,275,50,77,0
244,Laptop 5888,1,4,250 ml,1348.63,278,54,78,0
245,Tablet 6671,64,4,6 pack,554.92,479,92,24,0
246,Laptop 4943,158,7,12 pack,139.25,304,4,67,1
247,Laptop 7590,63,1,250 ml,472.51,111,96,17,0
248,Camera 6253,60,5,12 pack,607.02,73,84,76,0
249,Headphones 1998,77,7,500 ml,1897.3,450,94,32,0
250,Camera 7244,13,8,500 ml,640.88,213,52,29,0
251,Tablet 4948,48,7,12 pack,604.97,362,18,69,0
252,Mouse 7363,107,7,12 pack,513.72,169,82,20,0
253,Monitor 1844,24,6,24 pack,757.45,309,77,15,0
254,Monitor 8854,195,4,12 pack,1739.6,170,38,11,0
255,Keyboard 8846,190,4,12 pack,1392.77,360,26,60,0
256,Headphones 7236,199,6,250 ml,1069.63,183,39,43,0
257,Keyboard 8692,120,8,500 g,1829.09,189,40,62,0
258,Mouse 1265,190,4,24 pack,1108.86,299,74,63,0
259,Camera 4768,51,3,1 kg,1141.73,125,63,80,0
260,Tablet 9037,196,5,250 ml,340.63,407,45,31,0
261,Laptop 9584,48,8,1 piece,1678.94,38,85,16,0
262,Monitor 2113,36,7,6 pack,23.24,258,58,57,0
263,Tablet 1257,169,8,1 piece,1066.76,210,1,12,1
264,Headphones 1280,138,5,500 ml,1627.25,345,55,32,0
265,Mouse 4948,135,2,12 pack,1241.46,129,45,44,0
266,Printer 8520,96,2,1 L,490.2,356,28,48,0
267,Printer 7213,24,1,1 kg,1107.64,28,81,11,0
268,Printer 6427,128,2,1 L,1954.77,498,12,77,0
269,Tablet 5441,55,4,1 piece,1848.7,350,35,79,1
270,Camera 1256,46,1,12 pack,1176.14,385,91,60,0
271,Monitor 7375,42,5,500 ml,666.8,386,94,27,0
272,Keyboard 8161,14,6,12 pack,1678.16,174,77,88,1
273,Camera 1485,199,7,24 pack,1568.18,230,62,39,0
274,Mouse 7227,111,7,2 pieces,1545.47,151,31,19,0
275,Printer 3527,40,5,1 kg,636.77,54,11,10,0
276,Headphones 2674,93,8,6 pack,179.16,220,57,81,1
277,Laptop 2468,27,7,500 g,1110.67,305,76,51,0
278,Printer 7353,75,1,2 pieces,1451.06,286,31,83,1
279,Printer 3777,176,3,6 pack,541.49,137,63,28,0
280,Headphones 7899,112,3,24 pack,971.04,39,46,42,0
281,Monitor 8501,153,8,2 pieces,275.3,3,50,52,1
282,Tablet 6484,85,7,1 kg,1631.87,440,83,86,0
283,Monitor 8848,83,5,500 g,359.39,203,40,47,0
284,Printer 5592,84,4,1 kg,733.21,477,72,35,1
285,Laptop 8563,175,3,12 pack,879.72,149,88,18,0
286,Headphones 4965,36,8,24 pack,1319.03,366,54,58,0
287,Tablet 7566,154,8,500 ml,1015.69,471,88,63,1
288,Keyboard 2791,93,1,12 pack,1316.92,181,21,92,1
289,Printer 6432,145,1,1 kg,216.36,50,33,38,1
290,Camera 7408,115,4,250 ml,1545.82,301,88,74,0
291,Tablet 2712,7,6,24 pack,834.87,492,10,24,0
292,Camera 8460,80,6,12 pack,1044.62,178,60,22,0
293,Keyboard 5919,82,8,1 piece,1621.32,58,2,53,0
294,Monitor 9454,190,3,6 pack,1106.06,169,71,64,0
295,Mouse 4053,104,4,1 kg,794.19,377,78,35,0
296,Laptop 4519,100,7,12 pack,560.3,360,8,83,0
297,Camera 4228,94,3,250 ml,232.34,343,62,77,0
298,Printer 2871,157,7,500 g,707.21,234,79,32,0
299,Mouse 6131,173,2,2 pieces,480.95,59,23,57,0
300,Mouse 7286,108,7,1 kg,375.58,325,68,98,0
301,Headphones 3298,126,3,6 pack,632.59,230,79,16,0
302,Mouse 4196,125,1,1 kg,1927.84,258,83,73,0
303,Tablet 9006,107,8,6 pack,169.93,15,97,38,0
304,Monitor 9808,71,1,24 pack,340.58,234,72,73,1
305,Keyboard 5389,147,2,500 ml,1647.45,187,69,15,0
306,Keyboard 5055,109,4,24 pack,1750.25,16,57,43,0
307,Keyboard 4882,113,2,12 pack,1622.35,301,88,54,1
308,Mouse 4385,43,7,12 pack,1611.85,291,44,78,0
309,Headphones 5740,83,3,1 L,538.35,439,65,96,0
310,Printer 1971,193,3,24 pack,1734.76,64,89,26,0
311,Camera 5055,183,3,1 kg,981.47,295,80,44,0
312,Keyboard 2525,116,7,1 kg,1033.65,142,88,57,0
313,Laptop 2526,84,8,250 ml,1271.51,357,45,18,1
314,Printer 4470,56,7,250 ml,540.73,424,36,53,1
315,Tablet 6631,145,3,1 piece,96.66,320,100,68,0
316,Tablet 8479,41,2,1 piece,1983.72,219,25,98,0
317,Headphones 2529,41,5,500 g,504.53,190,85,93,0
318,Headphones 4836,102,1,1 kg,1312.69,360,12,10,0
319,Mouse 4705,20,8,500 ml,1361.57,4,1,99,0
320,Mouse 8826,109,2,2 pieces,461.75,45,93,23,0
321,Headphones 3246,95,6,1 kg,1548.05,385,17,92,0
322,Laptop 3688,136,2,250 ml,705.62,109,80,29,0
323,Keyboard 2646,56,8,6 pack,1506.13,301,93,59,0
324,Mouse 5059,81,7,24 pack,1291.02,127,70,86,1
325,Laptop 5942,200,5,12 pack,1037.91,260,24,60,0
326,Tablet 7322,62,1,2 pieces,485.96,326,76,19,1
327,Camera 3162,93,1,1 kg,1722.32,291,53,56,1
328,Tablet 2195,196,3,1 piece,1176.79,7,33,37,0
329,Headphones 9209,102,1,1 kg,850.03,205,10,91,1
330,Keyboard 6077,72,3,2 pieces,1025.05,104,19,78,0
331,Keyboard 6081,151,7,1 kg,1461.27,433,30,17,0
332,Keyboard 8428,112,2,1 L,1219.62,158,85,94,0
333,Mouse 1185,4,2,6 pack,995.34,177,66,76,0
334,Mouse 5403,96,3,2 pieces,1544.0,15,42,64,0
335,Keyboard 9128,68,2,250 ml,1024.01,28,63,82,0
336,Headphones 2685,41,6,1 L,1349.87,59,29,75,0
337,Monitor 1753,4,1,250 ml,731.13,471,19,32,0
338,Camera 5067,58,7,1 kg,1832.13,163,34,19,1
339,Laptop 3938,31,6,12 pack,1609.65,23,51,18,0
340,Headphones 6362,199,5,2 pieces,1108.42,4,47,35,0
341,Monitor 8600,190,5,500 g,1185.42,252,98,35,1
342,Laptop 7718,39,4,1 piece,469.83,177,81,98,0
343,Printer 6038,1,6,2 pieces,414.36,121,53,72,0
344,Headphones 2524,183,3,1 piece,1842.94,459,66,62,0
345,Keyboard 2565,192,8,500 ml,271.36,419,50,19,1
346,Mouse 4879,112,1,24 pack,525.68,161,50,99,0
347,Headphones 4827,116,6,2 pieces,1887.39,69,99,84,0
348,Mouse 8365,28,3,250 ml,631.5,61,68,55,0
349,Tablet 5341,79,8,2 pieces,185.39,413,87,48,1
350,Camera 3430,56,1,2 pieces,1423.76,495,45,60,1
351,Headphones 5262,174,1,6 pack,67.01,207,57,81,1
352,Tablet 2669,25,4,6 pack,247.3,31,99,38,0
353,Camera 2376,103,4,1 L,1174.31,469,9,12,0
354,Tablet 3110,166,4,2 pieces,1810.63,424,42,25,0
355,Mouse 8096,13,8,1 kg,994.77,195,87,64,0
356,Mouse 5505,55,6,24 pack,894.79,76,4,88,1
357,Headphones 9173,166,4,1 kg,1766.14,245,7,21,0
358,Printer 4267,36,7,500 ml,502.05,410,69,12,0
359,Tablet 6636,123,6,1 L,1007.27,198,34,33,0
360,Monitor 1480,153,6,24 pack,121.89,241,67,55,1
361,Keyboard 5060,41,4,12 pack,536.72,417,94,17,0
362,Mouse 3885,91,7,12 pack,1187.08,412,94,99,0
363,Camera 3328,181,1,1 L,1897.0,428,63,79,0
364,Laptop 2478,126,3,1 piece,469.08,112,2,77,0
365,Monitor 3137,85,1,500 g,1435.29,470,41,17,0
366,Mouse 2817,151,3,500 ml,1722.04,491,9,57,0
367,Headphones 6285,87,2,6 pack,1951.84,374,55,91,0
368,Camera 4657,45,6,1 L,1629.84,193,39,98,0
369,Laptop 7415,46,3,1 L,69.6,308,40,88,0
370,Mouse 6425,128,2,2 pieces,479.8,163,21,91,0
371,Laptop 5345,115,6,12 pack,502.83,34,44,42,0
372,Printer 8179,13,1,1 kg,1938.36,452,52,73,0
373,Printer 2661,140,6,250 ml,1578.52,295,83,97,0
374,Keyboard 1547,116,3,24 pack,45.06,133,13,19,0
375,Mouse 2228,97,3,500 ml,1883.96,500,11,53,1
376,Laptop 8066,181,8,6 pack,1216.6,222,20,16,0
377,Monitor 7705,53,6,500 ml,1445.47,373,69,43,0
378,Keyboard 1813,61,5,1 kg,1145.68,430,62,29,0
379,Printer 2435,1,6,24 pack,1648.68,320,76,71,0
380,Monitor 3798,7,2,24 pack,1954.23,242,14,49,0
381,Headphones 2493,126,8,500 ml,778.12,189,48,57,0
382,Headphones 8204,12,8,250 ml,530.48,428,34,82,0
383,Keyboard 2404,193,3,500 g,1617.32,211,96,85,0
384,Printer 9773,100,1,250 ml,1147.57,120,60,48,0
385,Laptop 9226,183,7,1 L,1801.41,409,73,96,1
386,Tablet 3832,31,3,6 pack,1944.47,413,24,26,0
387,Printer 4308,21,7,6 pack,1669.05,132,40,18,0
388,Printer 6343,143,7,24 pack,1041.78,469,1,99,1
389,Printer 3451,29,7,6 pack,1135.35,298,97,22,0
390,Camera 7732,74,2,24 pack,769.17,248,73,87,0
391,Headphones 7602,45,1,6 pack,1238.4,348,88,61,0
392,Monitor 1807,85,7,250 ml,1842.07,459,47,12,0
393,Headphones 9054,80,5,2 pieces,1945.13,116,17,48,0
394,Printer 2462,69,6,12 pack,886.22,467,52,72,1
395,Mouse 2075,15,6,24 pack,1420.59,206,17,77,1
396,Monitor 4288,45,1,1 piece,502.73,233,6,56,0
397,Tablet 9275,95,5,1 kg,1272.64,63,87,13,0
398,Tablet 3909,126,6,250 ml,1175.83,179,44,30,0
399,Laptop 7333,73,2,1 piece,330.0,292,99,37,0
400,Monitor 5408,174,4,1 kg,1029.0,442,99,97,0
401,Mouse 1138,34,8,12 pack,508.52,412,39,100,0
402,Camera 8520,97,7,24 pack,440.33,154,86,76,1
403,Keyboard 1120,150,7,500 ml,1998.86,494,47,81,1
404,Keyboard 8892,77,5,2 pieces,675.89,141,81,51,0
405,Headphones 4086,168,5,6 pack,1037.0,123,7,86,0
406,Mouse 1417,175,6,250 ml,1994.95,132,53,61,0
407,Monitor 6622,150,1,12 pack,1374.2,326,100,70,0
408,Mouse 5813,44,5,2 pieces,944.21,379,33,81,0
409,Keyboard 4641,168,6,500 g,450.54,446,39,63,0
410,Headphones 8598,67,6,2 pieces,943.72,443,81,84,1
411,Monitor 9199,121,2,2 pieces,1735.66,195,67,48,0
412,Mouse 4281,39,1,500 g,821.34,291,58,28,0
413,Keyboard 8988,200,3,500 g,1263.91,90,40,91,0
414,Headphones 4430,116,1,6 pack,1154.68,81,62,21,0
415,Printer 7609,163,7,1 kg,1930.83,196,0,14,1
416,Camera 1230,188,4,500 g,1514.91,271,24,12,0
417,Camera 6113,58,4,6 pack,209.9,257,75,49,0
418,Headphones 5764,12,2,250 ml,1457.02,305,67,53,0
419,Tablet 6885,88,3,12 pack,333.94,464,51,12,0
420,Mouse 4460,187,4,1 piece,1181.44,86,15,56,0
421,Headphones 9761,164,7,1 L,101.93,24,84,23,0
422,Keyboard 7828,177,1,250 ml,763.61,280,32,70,0
423,Laptop 5933,178,4,1 kg,1325.02,339,66,44,1
424,Keyboard 9381,108,3,1 L,239.88,58,100,23,0
425,Monitor 5308,156,4,500 ml,1946.37,183,90,62,0
426,Tablet 4402,11,3,250 ml,664.55,1,1,95,0
427,Tablet 3443,147,2,2 pieces,1560.15,38,92,22,0
428,Headphones 5327,117,4,250 ml,104.91,416,22,15,0
429,Camera 7979,174,6,2 pieces,194.52,388,5,11,0
430,Camera 8171,85,3,1 L,540.28,375,11,57,0
431,Printer 7557,30,3,250 ml,547.31,197,88,71,0
432,Mouse 1960,29,3,6 pack,211.91,466,75,71,1
433,Printer 6875,47,8,1 L,62.49,350,93,26,0
434,Printer 8220,29,8,1 piece,131.36,335,40,11,1
435,Camera 9504,172,4,500 ml,1378.04,316,12,65,0
436,Printer 3435,89,8,500 ml,1784.66,313,6,11,0
437,Mouse 2226,127,8,250 ml,644.66,169,35,16,1
438,Printer 7607,141,4,12 pack,162.27,227,73,67,0
439,Camera 2944,115,8,250 ml,1491.75,9,13,61,0
440,Laptop 2489,143,1,1 L,1926.53,326,38,75,1
441,Tablet 6584,168,4,500 g,1651.5,418,28,68,0
442,Camera 8414,184,8,2 pieces,199.39,337,28,10,0
443,Headphones 9973,163,6,500 ml,750.91,54,5,31,0
