order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_city,ship_region,ship_country,order_status,payment_method
38,2733,395,2026-01-21,2026-01-26,2026-01-27,USPS,57.41,Chapman Inc,London,Oklahoma,UK,Shipped,Cash
39,80,58,2023-11-10,2023-11-14,2023-11-16,FedEx,84.29,"Brown, Jones and Johnson",Mumbai,Virginia,India,Processing,Cash
40,1214,221,2024-12-17,2024-12-22,2024-12-18,FedEx,90.4,"Young, Caldwell and Lewis",Manchester,California,UK,Delivered,Debit Card
41,843,182,2024-02-13,2024-02-22,2024-02-18,UPS,97.74,"Johnston, Sanchez and Kennedy",Hyderabad,Washington,India,Delivered,Net Banking
42,204,92,2025-04-15,2025-04-23,2025-04-22,DHL,20.12,Davis Group,Toronto,Illinois,Canada,Processing,Credit Card
43,3134,447,2025-01-23,2025-01-26,2025-01-30,UPS,82.58,Owens-Daniel,Toronto,Nevada,Canada,Shipped,UPI
44,2501,421,2026-06-03,2026-06-09,2026-06-05,UPS,42.85,"Garcia, Powell and Morgan",Chicago,Tennessee,USA,Shipped,Credit Card
45,2287,180,2024-01-08,2024-01-17,2024-01-14,FedEx,88.32,Lee Group,London,Kansas,UK,Shipped,Debit Card
46,4757,493,2024-02-25,2024-03-03,2024-02-26,USPS,37.84,Ramirez and Sons,Chicago,Nevada,USA,Shipped,Net Banking
47,4967,262,2023-11-17,2023-11-21,2023-11-21,FedEx,72.33,"Garcia, Pearson and Fernandez",Bangalore,New Hampshire,India,Delivered,Cash
48,4411,352,2023-08-14,2023-08-20,2023-08-17,DHL,64.2,Martin Group,Toronto,Colorado,Canada,Processing,Credit Card
49,2461,260,2025-08-08,2025-08-15,2025-08-14,USPS,71.23,Barrera-Martin,Vancouver,Indiana,Canada,Processing,Debit Card
50,1572,216,2023-07-26,2023-08-04,2023-08-01,DHL,43.58,House-Glover,Mumbai,Missouri,India,Delivered,UPI
51,2351,108,2024-10-08,2024-10-17,2024-10-15,USPS,47.01,"Bernard, Cowan and Peters",Manchester,Nevada,UK,Delivered,Cash
52,3877,407,2025-08-17,2025-08-22,2025-08-23,DHL,13.87,Phillips Inc,New York,Georgia,USA,Delivered,UPI
53,1841,413,2026-01-07,2026-01-13,2026-01-09,UPS,98.47,"Brown, Edwards and Williams",Seattle,West Virginia,USA,Processing,Credit Card
54,3731,213,2025-08-01,2025-08-07,2025-08-07,USPS,28.18,"Moore, Yu and Miller",Vancouver,North Carolina,Canada,Processing,Credit Card
55,874,399,2024-05-06,2024-05-15,2024-05-08,USPS,9.77,"Jones, Hensley and Powell",Mumbai,California,India,Delivered,Credit Card
56,3740,69,2025-12-23,2026-01-02,2025-12-29,USPS,83.9,"Wheeler, Harvey and Barnes",Manchester,Kansas,UK,Processing,Net Banking
57,1304,381,2026-01-14,2026-01-24,2026-01-18,DHL,77.75,"Stewart, Green and Santiago",London,Oregon,UK,Processing,Net Banking
58,1960,141,2024-11-22,2024-12-02,2024-11-23,DHL,36.91,Foster-Powers,London,Kansas,UK,Processing,Credit Card
59,1134,78,2024-10-31,2024-11-06,2024-11-04,UPS,11.1,Hickman-Walls,Mumbai,New Jersey,India,Shipped,UPI
60,4446,239,2023-08-06,2023-08-15,2023-08-07,USPS,90.96,"Murillo, Ferrell and Jones",Bangalore,New Jersey,India,Processing,Credit Card
61,4717,195,2024-06-18,2024-06-28,2024-06-19,USPS,86.08,Anderson-Bailey,Manchester,North Carolina,UK,Shipped,Cash
62,4474,410,2023-11-06,2023-11-12,2023-11-10,USPS,51.14,Mitchell-Kim,Bangalore,Kansas,India,Shipped,UPI
63,3313,371,2025-11-12,2025-11-17,2025-11-19,FedEx,91.16,Carr-Archer,Toronto,Virginia,Canada,Processing,Cash
64,223,43,2026-05-03,2026-05-12,2026-05-05,FedEx,29.71,Contreras PLC,Toronto,North Dakota,Canada,Shipped,Debit Card
65,3725,168,2024-10-30,2024-11-07,2024-11-06,USPS,28.97,Mcmillan and Sons,Vancouver,Texas,Canada,Delivered,Net Banking
66,159,384,2024-09-05,2024-09-08,2024-09-08,FedEx,79.22,Newton and Sons,Mumbai,Delaware,India,Processing,Credit Card
67,255,487,2024-09-18,2024-09-24,2024-09-20,UPS,27.66,"Clark, Cooper and Watts",Chicago,Maine,USA,Shipped,Credit Card
68,4621,486,2024-09-05,2024-09-11,2024-09-09,UPS,62.56,King-Odonnell,Manchester,North Carolina,UK,Processing,Credit Card
69,1342,494,2023-10-09,2023-10-16,2023-10-10,USPS,42.68,"Henderson, Hill and Smith",New York,Colorado,USA,Processing,Debit Card
70,623,304,2024-02-11,2024-02-17,2024-02-12,FedEx,37.98,Martin-Ramos,London,South Dakota,UK,Shipped,UPI
71,565,260,2025-05-17,2025-05-25,2025-05-18,FedEx,46.18,Rodriguez Ltd,Vancouver,Oklahoma,Canada,Shipped,Net Banking
72,1254,223,2024-03-10,2024-03-15,2024-03-16,USPS,46.38,Davenport PLC,Manchester,Ohio,UK,Processing,Cash
73,2199,166,2025-11-27,2025-12-03,2025-12-04,USPS,28.17,Anderson-Parker,New York,Georgia,USA,Shipped,Cash
74,5000,343,2023-09-22,2023-10-01,2023-09-25,DHL,22.27,Fleming Ltd,New York,Minnesota,USA,Delivered,UPI
75,2117,175,2023-12-29,2024-01-05,2024-01-03,UPS,13.13,"Henson, Russell and Oliver",London,Minnesota,UK,Processing,Net Banking
76,4003,285,2024-03-19,2024-03-25,2024-03-25,USPS,80.33,Cherry and Sons,Vancouver,Kansas,Canada,Delivered,UPI
77,1816,208,2025-04-23,2025-04-29,2025-04-26,DHL,45.42,Doyle LLC,Manchester,Alaska,UK,Processing,Cash
78,2710,181,2025-04-22,2025-05-02,2025-04-25,UPS,16.46,"Cochran, Adams and Cobb",Manchester,Texas,UK,Delivered,UPI
79,980,381,2024-01-06,2024-01-11,2024-01-08,USPS,31.27,Garrison and Sons,Mumbai,Missouri,India,Processing,Cash
80,4889,145,2024-05-28,2024-06-01,2024-06-04,UPS,39.28,Torres-Pope,Bangalore,New Jersey,India,Shipped,Credit Card
81,4376,65,2024-07-10,2024-07-17,2024-07-11,DHL,71.25,Keller Group,Chicago,Iowa,USA,Delivered,Net Banking
82,841,447,2024-12-13,2024-12-16,2024-12-18,USPS,46.84,Rasmussen LLC,Manchester,Louisiana,UK,Delivered,Credit Card
83,2069,482,2025-01-18,2025-01-28,2025-01-19,USPS,12.04,"Ross, Zavala and Herrera",New York,Tennessee,USA,Processing,Credit Card
84,1243,77,2023-09-03,2023-09-10,2023-09-04,USPS,62.6,White-Estes,Hyderabad,Delaware,India,Processing,Debit Card
85,4281,195,2024-09-07,2024-09-17,2024-09-11,DHL,59.02,Carlson LLC,Manchester,Arizona,UK,Delivered,Cash
86,813,486,2024-11-21,2024-11-27,2024-11-27,FedEx,19.92,"Joyce, Wilson and Lam",Bangalore,Nevada,India,Delivered,Cash
87,615,81,2024-05-13,2024-05-16,2024-05-17,DHL,8.1,Fletcher Inc,Vancouver,Kentucky,Canada,Shipped,UPI
88,3720,37,2025-10-07,2025-10-13,2025-10-10,FedEx,56.73,"Ball, Harmon and Lambert",Bangalore,Ohio,India,Processing,Debit Card
89,2177,424,2025-02-07,2025-02-12,2025-02-08,DHL,61.53,Rush LLC,Seattle,Nevada,USA,Processing,UPI
90,3598,64,2026-03-17,2026-03-27,2026-03-23,DHL,52.54,"Charles, Cortez and Evans",Manchester,Massachusetts,UK,Shipped,Net Banking
91,659,307,2024-11-14,2024-11-17,2024-11-18,FedEx,13.68,Nguyen-Terry,Manchester,Texas,UK,Processing,Cash
92,4810,487,2025-11-30,2025-12-03,2025-12-07,UPS,49.7,Fisher Group,London,Florida,UK,Processing,Net Banking
93,2279,93,2026-06-09,2026-06-18,2026-06-15,USPS,38.06,Gilbert LLC,Toronto,West Virginia,Canada,Shipped,UPI
94,857,440,2025-04-13,2025-04-18,2025-04-16,DHL,67.95,Torres and Sons,Vancouver,Oklahoma,Canada,Shipped,Cash
95,301,233,2025-05-20,2025-05-24,2025-05-23,FedEx,97.17,"Pena, Marshall and Ramos",Manchester,Pennsylvania,UK,Shipped,Cash
96,10,337,2024-06-18,2024-06-28,2024-06-22,DHL,64.15,Leon-Moyer,Seattle,North Carolina,USA,Shipped,Net Banking
97,423,105,2024-04-11,2024-04-18,2024-04-16,USPS,88.68,Campbell Ltd,Bangalore,Texas,India,Shipped,Credit Card
98,237,499,2026-04-01,2026-04-07,2026-04-07,FedEx,57.46,Davis-Crane,Bangalore,South Carolina,India,Delivered,Debit Card
99,930,237,2024-07-21,2024-07-25,2024-07-27,DHL,53.34,Walker-Gonzalez,Bangalore,Utah,India,Shipped,Net Banking
100,3953,242,2023-08-29,2023-09-04,2023-09-02,UPS,92.58,Riggs PLC,Bangalore,Arizona,India,Processing,Debit Card
101,572,142,2023-11-13,2023-11-22,2023-11-16,DHL,73.97,Mercado-Johnston,London,New Jersey,UK,Processing,Cash
102,4012,444,2026-07-08,2026-07-13,2026-07-12,DHL,57.43,Ross-Hernandez,Vancouver,Missouri,Canada,Processing,Net Banking
103,3731,478,2026-06-25,2026-07-03,2026-07-02,UPS,59.32,Osborne and Sons,Mumbai,Alabama,India,Delivered,Net Banking
104,358,163,2024-04-21,2024-05-01,2024-04-27,UPS,52.06,"Marshall, Grant and Lowery",Vancouver,Vermont,Canada,Delivered,Debit Card
105,4115,495,2024-01-27,2024-02-04,2024-02-03,FedEx,54.97,Solis Ltd,New York,New Jersey,USA,Shipped,Credit Card
106,1181,210,2025-10-25,2025-10-30,2025-10-26,DHL,64.21,"Stewart, Fischer and Ramos",Vancouver,Oklahoma,Canada,Shipped,Credit Card
107,2692,437,2025-09-14,2025-09-23,2025-09-17,FedEx,27.3,"Griffin, Moore and Hensley",Toronto,Nevada,Canada,Processing,UPI
108,1864,383,2025-06-21,2025-06-25,2025-06-25,FedEx,47.15,Larsen LLC,Chicago,Kentucky,USA,Processing,UPI
109,238,24,2025-10-09,2025-10-17,2025-10-16,DHL,40.61,"Allen, Gonzales and Reeves",New York,New York,USA,Delivered,Debit Card
110,4352,211,2024-07-21,2024-07-26,2024-07-23,USPS,63.87,Flores-Fernandez,Hyderabad,Louisiana,India,Delivered,Net Banking
111,4778,74,2024-02-22,2024-02-28,2024-02-26,DHL,68.35,Reyes and Sons,Manchester,Georgia,UK,Shipped,UPI
112,4478,81,2024-06-19,2024-06-23,2024-06-23,USPS,70.58,Russell-Daniels,Manchester,California,UK,Shipped,UPI
113,1632,197,2025-04-28,2025-05-08,2025-04-29,DHL,59.61,Wall Group,Bangalore,Arkansas,India,Processing,UPI
114,180,425,2026-01-15,2026-01-24,2026-01-18,FedEx,91.51,Gates PLC,Chicago,Vermont,USA,Processing,Net Banking
115,2345,398,2025-03-04,2025-03-10,2025-03-09,UPS,63.98,Bender LLC,London,New Mexico,UK,Processing,Debit Card
116,796,463,2025-03-19,2025-03-22,2025-03-22,DHL,74.57,"Adkins, Payne and Morrison",Toronto,Nebraska,Canada,Delivered,UPI
117,2677,383,2024-06-29,2024-07-08,2024-07-01,DHL,55.43,Nelson Group,Hyderabad,New York,India,Shipped,Debit Card
118,2106,468,2023-09-06,2023-09-16,2023-09-13,FedEx,49.49,Caldwell-Yates,Manchester,Missouri,UK,Delivered,Debit Card
119,1849,441,2024-04-04,2024-04-13,2024-04-11,USPS,6.32,Hooper PLC,London,New Jersey,UK,Processing,Credit Card
120,3726,189,2023-09-02,2023-09-09,2023-09-07,FedEx,69.11,"Elliott, Johnson and Day",Vancouver,Montana,Canada,Shipped,Credit Card
121,4600,168,2024-02-18,2024-02-24,2024-02-24,USPS,91.39,Williams Group,Chicago,New Jersey,USA,Shipped,Net Banking
122,956,72,2024-12-12,2024-12-15,2024-12-13,FedEx,14.23,Murphy-Juarez,Manchester,Indiana,UK,Processing,Debit Card
123,3184,233,2025-03-02,2025-03-10,2025-03-08,USPS,67.22,King-Miller,Toronto,Louisiana,Canada,Shipped,Cash
124,3344,481,2023-08-22,2023-08-29,2023-08-23,USPS,47.25,"Williams, Crane and Walker",London,West Virginia,UK,Delivered,UPI
125,814,352,2023-11-06,2023-11-14,2023-11-11,USPS,31.21,"Williams, Johnson and Wright",London,Wyoming,UK,Delivered,Net Banking
126,751,340,2023-08-23,2023-08-29,2023-08-29,DHL,28.14,Allen Group,Seattle,South Carolina,USA,Delivered,Cash
127,1682,36,2026-05-27,2026-06-02,2026-06-01,DHL,78.57,"Gould, Marshall and Scott",Hyderabad,Delaware,India,Processing,Credit Card
128,2272,440,2025-02-15,2025-02-20,2025-02-17,FedEx,67.8,"Lawson, Adkins and Wilson",London,Hawaii,UK,Delivered,Debit Card
129,122,184,2024-04-02,2024-04-08,2024-04-07,UPS,30.21,Lane LLC,London,Maryland,UK,Delivered,Net Banking
130,4310,59,2026-01-02,2026-01-06,2026-01-06,FedEx,47.94,Sanders-Espinoza,Vancouver,Utah,Canada,Delivered,Cash
131,356,373,2023-11-18,2023-11-25,2023-11-22,USPS,85.49,"Rivas, Sanchez and Terry",Seattle,Pennsylvania,USA,Shipped,Credit Card
132,4017,365,2024-11-02,2024-11-12,2024-11-03,UPS,11.24,"Trujillo, Hogan and Knight",New York,Utah,USA,Shipped,Cash
133,4796,281,2023-09-24,2023-10-02,2023-09-28,USPS,14.42,"Patterson, Wood and Hunter",Manchester,Minnesota,UK,Processing,Credit Card
134,4517,370,2025-01-03,2025-01-09,2025-01-07,USPS,37.2,Short-Garcia,Toronto,Alabama,Canada,Shipped,Net Banking
135,3408,374,2025-02-04,2025-02-08,2025-02-07,DHL,40.56,Zimmerman-Graham,Vancouver,South Dakota,Canada,Delivered,Net Banking
136,550,47,2025-10-10,2025-10-14,2025-10-11,DHL,82.12,Gilbert-Gillespie,Toronto,Tennessee,Canada,Processing,Credit Card
137,4805,490,2025-08-12,2025-08-20,2025-08-18,DHL,87.99,Petersen-Vargas,New York,New Jersey,USA,Shipped,Credit Card
138,2357,308,2024-12-04,2024-12-11,2024-12-07,UPS,19.7,Ramirez Group,Chicago,Kansas,USA,Shipped,Debit Card
139,887,180,2024-08-04,2024-08-12,2024-08-05,USPS,85.29,Hudson-Barnett,London,Wisconsin,UK,Processing,Cash
140,4561,14,2024-12-26,2025-01-02,2024-12-27,DHL,92.55,Rosales-White,Bangalore,Alaska,India,Shipped,Credit Card
141,1487,446,2024-06-16,2024-06-21,2024-06-21,UPS,75.39,Peterson-Beard,Toronto,Minnesota,Canada,Delivered,Credit Card
142,4346,111,2026-07-16,2026-07-25,2026-07-20,UPS,40.16,"Smith, Vaughan and Miller",Vancouver,Louisiana,Canada,Processing,UPI
143,4650,306,2025-04-14,2025-04-18,2025-04-15,FedEx,69.03,"Chang, Vaughn and Brewer",Hyderabad,New York,India,Shipped,Net Banking
144,3474,249,2025-08-23,2025-09-02,2025-08-27,FedEx,37.79,Davis and Sons,London,New Hampshire,UK,Delivered,UPI
145,4859,250,2025-04-11,2025-04-18,2025-04-12,FedEx,5.73,Torres PLC,Bangalore,Vermont,India,Shipped,Debit Card
146,1125,392,2025-02-15,2025-02-22,2025-02-18,FedEx,52.25,"Schmidt, Coleman and Reese",London,New Mexico,UK,Shipped,Debit Card
147,1059,195,2024-12-17,2024-12-23,2024-12-22,USPS,86.87,"Chavez, Parker and Hall",London,Minnesota,UK,Delivered,Net Banking
148,154,236,2024-05-17,2024-05-21,2024-05-24,USPS,72.4,Newton Ltd,Manchester,Massachusetts,UK,Shipped,UPI
149,944,208,2024-05-05,2024-05-08,2024-05-08,USPS,84.04,Rodgers LLC,Mumbai,Illinois,India,Shipped,Credit Card
150,3578,433,2026-01-23,2026-01-27,2026-01-25,FedEx,42.6,"Carlson, Hooper and Wall",Vancouver,Wisconsin,Canada,Shipped,UPI
151,1816,171,2024-10-25,2024-10-30,2024-10-26,UPS,91.06,White-Smith,Chicago,Iowa,USA,Shipped,UPI
152,1210,121,2025-10-29,2025-11-02,2025-10-31,UPS,62.23,Williams-Brown,London,Florida,UK,Processing,Credit Card
153,1452,488,2024-10-18,2024-10-28,2024-10-22,DHL,19.34,Little Group,Vancouver,Vermont,Canada,Delivered,Net Banking
154,3623,324,2023-12-29,2024-01-05,2024-01-05,DHL,53.2,"Mitchell, Mendoza and Peterson",London,Alabama,UK,Shipped,Net Banking
155,3703,20,2023-10-10,2023-10-13,2023-10-13,FedEx,63.43,Wilson-Jones,London,Kentucky,UK,Processing,Net Banking
156,3791,298,2025-08-24,2025-08-27,2025-08-28,USPS,52.63,"Soto, Brown and Hernandez",Bangalore,California,India,Delivered,Net Banking
157,848,416,2025-12-13,2025-12-21,2025-12-19,UPS,8.72,Mcknight Inc,Chicago,Maryland,USA,Processing,Net Banking
158,3600,269,2025-12-05,2025-12-10,2025-12-08,USPS,43.83,Obrien-Gibbs,Manchester,Wisconsin,UK,Shipped,Cash
159,429,405,2024-07-07,2024-07-15,2024-07-08,USPS,31.99,"James, Kerr and Evans",London,Wyoming,UK,Processing,Cash
160,1232,171,2026-01-22,2026-01-26,2026-01-27,DHL,96.93,Carroll-Brown,Bangalore,Nevada,India,Processing,Net Banking
161,1057,305,2023-12-24,2023-12-28,2023-12-27,UPS,68.66,Garrett LLC,Vancouver,Wisconsin,Canada,Processing,Cash
162,766,331,2026-05-13,2026-05-22,2026-05-18,DHL,34.34,Allen PLC,London,Colorado,UK,Delivered,UPI
163,3984,99,2023-11-16,2023-11-22,2023-11-18,DHL,85.22,Ortiz Ltd,Hyderabad,Hawaii,India,Delivered,Cash
164,4422,428,2026-01-30,2026-02-02,2026-02-05,USPS,19.65,Johnson-Roberts,London,New Mexico,UK,Delivered,Cash
165,1357,370,2024-10-04,2024-10-14,2024-10-05,UPS,97.11,Jones-Hall,Vancouver,Vermont,Canada,Processing,UPI
166,3678,120,2024-09-05,2024-09-11,2024-09-08,DHL,69.44,"Guerrero, Peck and Coleman",Toronto,South Dakota,Canada,Processing,Net Banking
167,3783,394,2025-11-14,2025-11-21,2025-11-21,UPS,82.6,"Hernandez, Baker and Thomas",Vancouver,Iowa,Canada,Processing,Debit Card
168,2049,27,2023-10-23,2023-11-02,2023-10-30,FedEx,32.08,Larson-Holloway,London,Hawaii,UK,Delivered,UPI
169,3681,464,2024-10-13,2024-10-18,2024-10-20,UPS,82.59,Harrison LLC,Toronto,New Hampshire,Canada,Shipped,Credit Card
170,3399,28,2026-07-13,2026-07-22,2026-07-18,USPS,99.48,Mason-Snyder,London,Montana,UK,Shipped,Debit Card
171,231,164,2023-11-24,2023-11-28,2023-12-01,UPS,8.64,Preston Ltd,London,Rhode Island,UK,Shipped,Debit Card
172,3843,230,2024-12-04,2024-12-07,2024-12-05,UPS,84.32,Johnson-Perez,New York,Rhode Island,USA,Processing,Cash
173,4324,217,2026-06-04,2026-06-08,2026-06-11,DHL,16.58,"Sampson, Key and Chambers",London,Oregon,UK,Delivered,Net Banking
174,3745,33,2024-09-13,2024-09-17,2024-09-20,UPS,73.26,Hines and Sons,Toronto,Oregon,Canada,Shipped,Net Banking
175,13,315,2025-07-22,2025-07-30,2025-07-24,FedEx,54.73,"Ramos, Ramirez and Shea",Toronto,North Dakota,Canada,Shipped,Credit Card
176,4310,279,2025-05-30,2025-06-02,2025-06-03,USPS,98.2,Costa-Harrison,Toronto,South Dakota,Canada,Shipped,Credit Card
177,2926,404,2025-04-17,2025-04-21,2025-04-20,FedEx,78.29,Santiago-Hodge,Mumbai,Michigan,India,Processing,UPI
178,1093,23,2024-12-16,2024-12-24,2024-12-21,USPS,98.18,"Simpson, Bates and Morales",London,Nebraska,UK,Shipped,Debit Card
179,1105,33,2025-11-23,2025-12-03,2025-11-24,FedEx,80.16,Miller-King,London,Arizona,UK,Delivered,UPI
180,2541,264,2024-01-19,2024-01-28,2024-01-26,FedEx,76.56,Hancock-Bryan,Vancouver,Wyoming,Canada,Delivered,UPI
181,2925,442,2023-07-24,2023-07-27,2023-07-31,FedEx,80.94,"Murray, Brown and Stone",Manchester,Texas,UK,Shipped,Net Banking
182,3603,459,2026-03-16,2026-03-25,2026-03-19,USPS,39.9,Garrett-Wolf,Bangalore,Wisconsin,India,Processing,UPI
183,677,373,2024-06-03,2024-06-12,2024-06-04,DHL,35.52,"Anderson, Roberts and Gilmore",Toronto,Louisiana,Canada,Delivered,UPI
184,2422,157,2025-08-13,2025-08-23,2025-08-18,USPS,38.4,Dudley PLC,Toronto,Delaware,Canada,Delivered,UPI
185,3564,141,2024-07-28,2024-07-31,2024-07-29,UPS,95.51,Collins Inc,Vancouver,Virginia,Canada,Delivered,Cash
186,3590,18,2025-11-26,2025-12-01,2025-11-27,DHL,39.4,Walker Inc,Mumbai,Nebraska,India,Processing,Credit Card
187,4957,79,2025-07-08,2025-07-18,2025-07-11,FedEx,59.52,"Collier, Jimenez and Moran",Manchester,Delaware,UK,Processing,UPI
188,3261,161,2025-09-20,2025-09-27,2025-09-22,UPS,52.41,Perry-Olson,Seattle,Virginia,USA,Shipped,Cash
189,965,135,2025-07-25,2025-08-01,2025-07-31,DHL,70.93,Arnold-Reyes,Toronto,Kansas,Canada,Shipped,Debit Card
190,1005,70,2026-02-08,2026-02-12,2026-02-12,USPS,99.74,"Suarez, Shields and Hill",Mumbai,North Carolina,India,Processing,UPI
191,2847,364,2025-04-27,2025-05-01,2025-05-02,UPS,72.62,"Adams, Smith and Barber",Manchester,Michigan,UK,Processing,Debit Card
192,2962,261,2026-01-19,2026-01-25,2026-01-20,UPS,80.09,"Burns, Hernandez and Ryan",Hyderabad,Pennsylvania,India,Delivered,UPI
193,4539,294,2025-01-09,2025-01-17,2025-01-13,FedEx,11.25,"Hines, Bennett and Cantu",Mumbai,Michigan,India,Shipped,Net Banking
194,4307,211,2024-05-11,2024-05-20,2024-05-18,DHL,66.02,Armstrong and Sons,Seattle,Vermont,USA,Shipped,Net Banking
195,4239,177,2025-04-21,2025-04-26,2025-04-28,USPS,52.77,Garner-Thornton,Hyderabad,Arizona,India,Delivered,Credit Card
196,4245,79,2025-03-06,2025-03-13,2025-03-08,UPS,37.87,"Sparks, Pearson and Hernandez",Bangalore,Missouri,India,Processing,UPI
197,647,129,2023-09-18,2023-09-24,2023-09-24,DHL,63.37,"Sanford, Rivera and Garcia",London,Florida,UK,Delivered,Cash
198,1382,304,2025-06-05,2025-06-10,2025-06-07,FedEx,12.72,"Lozano, Smith and Thomas",London,Connecticut,UK,Processing,Cash
199,2169,334,2026-05-05,2026-05-11,2026-05-12,USPS,89.45,Harrison LLC,Toronto,Georgia,Canada,Processing,UPI
